contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
PLTR231215C00001000,2023-10-18 18:10:11+00:00,1.0,16.45,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215C00002000,2023-10-30 17:24:56+00:00,2.0,12.65,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215C00003000,2023-09-14 13:53:33+00:00,3.0,12.8,14.35,14.45,0.0,0.0,1.0,9,11.21875298828125,True,REGULAR,USD
PLTR231215C00004000,2023-10-10 16:33:30+00:00,4.0,13.9,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215C00005000,2023-10-30 14:20:05+00:00,5.0,9.95,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215C00006000,2023-10-11 13:54:04+00:00,6.0,12.15,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215C00007000,2023-10-30 16:18:15+00:00,7.0,7.9,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215C00008000,2023-10-30 17:35:44+00:00,8.0,6.78,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215C00009000,2023-10-30 16:18:48+00:00,9.0,5.95,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215C00010000,2023-10-30 19:26:39+00:00,10.0,5.05,0.0,0.0,0.0,0.0,24.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215C00011000,2023-10-30 17:57:55+00:00,11.0,4.09,0.0,0.0,0.0,0.0,15.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215C00012000,2023-10-30 19:28:54+00:00,12.0,3.4,0.0,0.0,0.0,0.0,27.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215C00013000,2023-10-30 19:59:51+00:00,13.0,2.56,0.0,0.0,0.0,0.0,17.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215C00014000,2023-10-30 19:50:42+00:00,14.0,1.97,0.0,0.0,0.0,0.0,144.0,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR231215C00015000,2023-10-30 19:44:57+00:00,15.0,1.49,0.0,0.0,0.0,0.0,1087.0,0,0.015634843750000002,False,REGULAR,USD
PLTR231215C00016000,2023-10-30 19:59:47+00:00,16.0,1.06,0.0,0.0,0.0,0.0,1639.0,0,0.062509375,False,REGULAR,USD
PLTR231215C00017000,2023-10-30 19:58:13+00:00,17.0,0.76,0.0,0.0,0.0,0.0,821.0,0,0.12500875,False,REGULAR,USD
PLTR231215C00018000,2023-10-30 19:54:07+00:00,18.0,0.54,0.0,0.0,0.0,0.0,1178.0,0,0.12500875,False,REGULAR,USD
PLTR231215C00019000,2023-10-30 19:53:28+00:00,19.0,0.38,0.0,0.0,0.0,0.0,512.0,0,0.2500075,False,REGULAR,USD
PLTR231215C00020000,2023-10-30 19:58:52+00:00,20.0,0.27,0.0,0.0,0.0,0.0,850.0,0,0.2500075,False,REGULAR,USD
PLTR231215C00021000,2023-10-30 19:55:16+00:00,21.0,0.19,0.0,0.0,0.0,0.0,202.0,0,0.2500075,False,REGULAR,USD
PLTR231215C00022000,2023-10-30 19:45:09+00:00,22.0,0.14,0.0,0.0,0.0,0.0,5600.0,0,0.2500075,False,REGULAR,USD
PLTR231215C00023000,2023-10-30 15:50:47+00:00,23.0,0.12,0.0,0.0,0.0,0.0,19.0,0,0.2500075,False,REGULAR,USD
PLTR231215C00024000,2023-10-30 19:53:28+00:00,24.0,0.09,0.0,0.0,0.0,0.0,48.0,0,0.2500075,False,REGULAR,USD
PLTR231215C00025000,2023-10-30 19:25:11+00:00,25.0,0.07,0.0,0.0,0.0,0.0,51.0,0,0.2500075,False,REGULAR,USD
PLTR231215C00026000,2023-10-30 15:55:05+00:00,26.0,0.06,0.0,0.0,0.0,0.0,18.0,0,0.500005,False,REGULAR,USD
PLTR231215C00027000,2023-10-30 18:57:21+00:00,27.0,0.06,0.0,0.0,0.0,0.0,4.0,0,0.500005,False,REGULAR,USD
PLTR231215C00028000,2023-10-30 14:39:09+00:00,28.0,0.04,0.0,0.0,0.0,0.0,3.0,0,0.500005,False,REGULAR,USD
PLTR231215C00029000,2023-10-25 17:34:53+00:00,29.0,0.07,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
PLTR231215C00030000,2023-10-30 18:19:15+00:00,30.0,0.03,0.0,0.0,0.0,0.0,27.0,0,0.500005,False,REGULAR,USD
PLTR231215C00031000,2023-10-30 17:34:10+00:00,31.0,0.03,0.0,0.0,0.0,0.0,70.0,0,0.500005,False,REGULAR,USD
PLTR231215C00032000,2023-10-27 16:36:29+00:00,32.0,0.04,0.0,0.0,0.0,0.0,8.0,0,0.500005,False,REGULAR,USD
PLTR231215C00033000,2023-10-23 14:33:34+00:00,33.0,0.04,0.0,0.0,0.0,0.0,5.0,0,0.500005,False,REGULAR,USD
PLTR231215C00034000,2023-10-27 17:47:28+00:00,34.0,0.03,0.0,0.0,0.0,0.0,152.0,0,0.500005,False,REGULAR,USD
PLTR231215C00035000,2023-10-20 16:22:44+00:00,35.0,0.04,0.0,0.0,0.0,0.0,4.0,0,0.500005,False,REGULAR,USD
PLTR231215C00036000,2023-10-24 19:17:39+00:00,36.0,0.03,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
PLTR231215C00037000,2023-10-25 16:20:16+00:00,37.0,0.03,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
PLTR231215C00038000,2023-10-17 15:34:26+00:00,38.0,0.04,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
PLTR231215C00039000,2023-10-20 14:27:02+00:00,39.0,0.03,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
PLTR231215C00040000,2023-10-25 16:44:57+00:00,40.0,0.02,0.0,0.0,0.0,0.0,16.0,0,0.500005,False,REGULAR,USD
PLTR231215P00001000,2023-09-22 18:26:41+00:00,1.0,0.02,0.0,0.01,0.0,0.0,1.0,2,2.8750028125,False,REGULAR,USD
PLTR231215P00002000,2023-09-22 18:26:41+00:00,2.0,0.01,0.0,0.01,0.0,0.0,1.0,2,2.1250046874999997,False,REGULAR,USD
PLTR231215P00004000,2023-08-07 15:02:22+00:00,4.0,0.02,0.0,0.02,0.0,0.0,,10,1.5000025,False,REGULAR,USD
PLTR231215P00005000,2023-10-23 13:35:07+00:00,5.0,0.02,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
PLTR231215P00006000,2023-10-30 19:49:22+00:00,6.0,0.02,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
PLTR231215P00007000,2023-10-30 17:08:59+00:00,7.0,0.03,0.0,0.0,0.0,0.0,91.0,0,0.500005,False,REGULAR,USD
PLTR231215P00008000,2023-10-30 14:56:54+00:00,8.0,0.06,0.0,0.0,0.0,0.0,60.0,0,0.500005,False,REGULAR,USD
PLTR231215P00009000,2023-10-30 14:52:30+00:00,9.0,0.09,0.0,0.0,0.0,0.0,10.0,0,0.2500075,False,REGULAR,USD
PLTR231215P00010000,2023-10-30 19:36:49+00:00,10.0,0.16,0.0,0.0,0.0,0.0,253.0,0,0.2500075,False,REGULAR,USD
PLTR231215P00011000,2023-10-30 19:52:54+00:00,11.0,0.29,0.0,0.0,0.0,0.0,61.0,0,0.2500075,False,REGULAR,USD
PLTR231215P00012000,2023-10-30 19:59:21+00:00,12.0,0.48,0.0,0.0,0.0,0.0,420.0,0,0.12500875,False,REGULAR,USD
PLTR231215P00013000,2023-10-30 19:59:55+00:00,13.0,0.77,0.0,0.0,0.0,0.0,226.0,0,0.12500875,False,REGULAR,USD
PLTR231215P00014000,2023-10-30 19:58:07+00:00,14.0,1.15,0.0,0.0,0.0,0.0,727.0,0,0.0312596875,False,REGULAR,USD
