contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
PLTR260116C00003000,2023-10-30 14:10:28+00:00,3.0,12.65,0.0,0.0,0.0,0.0,7,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR260116C00005000,2023-10-30 15:29:55+00:00,5.0,10.94,0.0,0.0,0.0,0.0,30,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR260116C00008000,2023-10-30 19:40:34+00:00,8.0,9.05,0.0,0.0,0.0,0.0,55,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR260116C00010000,2023-10-30 19:56:09+00:00,10.0,7.95,0.0,0.0,0.0,0.0,117,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR260116C00013000,2023-10-30 17:59:46+00:00,13.0,6.6,0.0,0.0,0.0,0.0,206,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR260116C00015000,2023-10-30 19:59:12+00:00,15.0,5.96,0.0,0.0,0.0,0.0,207,0,0.0039162109375,False,REGULAR,USD
PLTR260116C00017000,2023-10-30 19:55:56+00:00,17.0,5.31,0.0,0.0,0.0,0.0,57,0,0.0312596875,False,REGULAR,USD
PLTR260116C00020000,2023-10-30 19:07:49+00:00,20.0,4.55,0.0,0.0,0.0,0.0,284,0,0.062509375,False,REGULAR,USD
PLTR260116C00022000,2023-10-30 19:47:46+00:00,22.0,4.09,0.0,0.0,0.0,0.0,49,0,0.062509375,False,REGULAR,USD
PLTR260116C00025000,2023-10-30 19:51:30+00:00,25.0,3.5,0.0,0.0,0.0,0.0,28,0,0.062509375,False,REGULAR,USD
PLTR260116C00027000,2023-10-30 18:44:20+00:00,27.0,3.3,0.0,0.0,0.0,0.0,14,0,0.12500875,False,REGULAR,USD
PLTR260116C00030000,2023-10-30 19:07:47+00:00,30.0,2.89,0.0,0.0,0.0,0.0,103,0,0.12500875,False,REGULAR,USD
PLTR260116C00035000,2023-10-30 19:59:26+00:00,35.0,2.25,0.0,0.0,0.0,0.0,328,0,0.12500875,False,REGULAR,USD
PLTR260116P00003000,2023-10-30 17:14:06+00:00,3.0,0.18,0.0,0.0,0.0,0.0,2,0,0.2500075,False,REGULAR,USD
PLTR260116P00005000,2023-10-30 18:58:02+00:00,5.0,0.54,0.0,0.0,0.0,0.0,7,0,0.12500875,False,REGULAR,USD
PLTR260116P00008000,2023-10-30 19:59:57+00:00,8.0,1.4,0.0,0.0,0.0,0.0,9,0,0.12500875,False,REGULAR,USD
PLTR260116P00010000,2023-10-30 19:36:30+00:00,10.0,2.2,0.0,0.0,0.0,0.0,72,0,0.062509375,False,REGULAR,USD
PLTR260116P00013000,2023-10-30 19:52:35+00:00,13.0,3.65,0.0,0.0,0.0,0.0,9,0,0.0312596875,False,REGULAR,USD
PLTR260116P00015000,2023-10-30 19:21:59+00:00,15.0,4.77,0.0,0.0,0.0,0.0,13,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR260116P00017000,2023-10-30 19:48:43+00:00,17.0,6.03,0.0,0.0,0.0,0.0,116,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR260116P00020000,2023-10-30 13:35:14+00:00,20.0,8.05,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR260116P00022000,2023-10-30 14:58:26+00:00,22.0,9.6,0.0,0.0,0.0,0.0,5,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR260116P00025000,2023-10-26 18:51:45+00:00,25.0,11.6,0.0,0.0,0.0,0.0,3,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR260116P00027000,2023-10-11 15:14:04+00:00,27.0,11.4,0.0,0.0,0.0,0.0,4,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR260116P00030000,2023-10-20 19:51:01+00:00,30.0,15.25,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
PLTR260116P00035000,2023-10-25 16:31:49+00:00,35.0,19.6,0.0,0.0,0.0,0.0,51,0,1.0000000000000003e-05,True,REGULAR,USD
