
PALANTIR TECHNOLOGIES INC.,Last: 15.545,Change:  -0.175
"Date: August 15, 2023 at 1:56 PM EDT",Bid: 15.54,Ask: 15.55,Size: 57*59,"Volume: 30,706,958"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Dec 15 2023,PLTR231215C00001000,18.61,0,14.5,14.7,0,2.1408,1,0.0002,26,1.00,PLTR231215P00001000,0.03,0,0,0.05,0,2.2416,-0.0011,0.0002,1
Fri Dec 15 2023,PLTR231215C00002000,17.3,0,13.5,13.75,0,1.6479,0.9992,0.0005,1,2.00,PLTR231215P00002000,0,0,0,0.05,0,1.6477,-0.002,0.0005,0
Fri Dec 15 2023,PLTR231215C00003000,16.26,0,12.5,12.75,0,1.1254,0.9981,0.0009,4,3.00,PLTR231215P00003000,0,0,0,0.06,0,1.3566,-0.0031,0.0009,0
Fri Dec 15 2023,PLTR231215C00004000,13.4,0,11.6,11.7,0,0,0.9967,0.0014,4,4.00,PLTR231215P00004000,0.02,0,0,0.06,0,1.1264,-0.0045,0.0014,10
Fri Dec 15 2023,PLTR231215C00005000,10.65,0,10.6,10.7,0,0,0.9942,0.0024,5,5.00,PLTR231215P00005000,0.02,0,0,0.03,0,0.8648,-0.007,0.0024,40
Fri Dec 15 2023,PLTR231215C00006000,14.1,0,9.65,9.75,0,0.7989,0.9897,0.0041,16,6.00,PLTR231215P00006000,0.02,0,0.02,0.04,0,0.8093,-0.0116,0.0041,255
Fri Dec 15 2023,PLTR231215C00007000,8.85,0,8.7,8.8,0,0.7718,0.9812,0.007,12,7.00,PLTR231215P00007000,0.06,0,0.05,0.06,0,0.7617,-0.0201,0.007,475
Fri Dec 15 2023,PLTR231215C00008000,7.76,-0.19,7.75,7.85,1,0.7143,0.9664,0.0116,63,8.00,PLTR231215P00008000,0.1,-0.005,0.1,0.12,2,0.7418,-0.035,0.0117,487
Fri Dec 15 2023,PLTR231215C00009000,7,0,6.85,6.95,0,0.7011,0.9434,0.018,168,9.00,PLTR231215P00009000,0.18,0,0.18,0.2,0,0.7167,-0.0583,0.0182,342
Fri Dec 15 2023,PLTR231215C00010000,6.1,-0.1,6,6.1,40,0.6937,0.9111,0.0259,402,10.00,PLTR231215P00010000,0.3,0.01,0.3,0.32,5,0.6959,-0.0909,0.0262,5110
Fri Dec 15 2023,PLTR231215C00011000,5.35,-0.025,5.2,5.3,25,0.6836,0.8696,0.0346,199,11.00,PLTR231215P00011000,0.45,0,0.48,0.5,1,0.6835,-0.1329,0.0351,2174
