
PALANTIR TECHNOLOGIES INC.,Last: 15.545,Change:  -0.175
"Date: August 15, 2023 at 1:56 PM EDT",Bid: 15.54,Ask: 15.55,Size: 57*59,"Volume: 30,706,958"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Nov 17 2023,PLTR231117C00001000,14.2,0,14.5,14.7,0,2.5148,1,0.0002,285,1.00,PLTR231117P00001000,0.01,0,0,0.05,0,2.5491,-0.0009,0.0002,7
Fri Nov 17 2023,PLTR231117C00002000,16.75,0,13.5,13.7,0,1.6386,0.9996,0.0004,27,2.00,PLTR231117P00002000,0.01,0,0,0.05,0,1.873,-0.0016,0.0004,1
Fri Nov 17 2023,PLTR231117C00003000,15.56,0,12.5,12.75,0,1.4548,0.9987,0.0007,27,3.00,PLTR231117P00003000,0.03,0,0,0.04,0,1.4565,-0.0024,0.0007,172
Fri Nov 17 2023,PLTR231117C00004000,15.61,0,11.55,11.65,0,0,0.9975,0.0012,60,4.00,PLTR231117P00004000,0.02,0,0,0.02,0,1.1078,-0.0037,0.0012,80
Fri Nov 17 2023,PLTR231117C00005000,10.55,0,10.6,10.7,0,0.9966,0.9955,0.0021,93,5.00,PLTR231117P00005000,0.01,0,0,0.02,0,0.9338,-0.0057,0.0021,2370
Fri Nov 17 2023,PLTR231117C00006000,9.7,-0.05,9.6,9.7,6,0.6918,0.9918,0.0036,569,6.00,PLTR231117P00006000,0.02,0,0.01,0.03,0,0.8665,-0.0094,0.0036,2400
Fri Nov 17 2023,PLTR231117C00007000,8.7,-0.15,8.65,8.75,46,0.8149,0.9849,0.0062,964,7.00,PLTR231117P00007000,0.04,0.005,0.03,0.04,2,0.8012,-0.0163,0.0062,11589
Fri Nov 17 2023,PLTR231117C00008000,7.56,0,7.7,7.8,0,0.7786,0.9726,0.0105,697,8.00,PLTR231117P00008000,0.06,0,0.07,0.08,0,0.7783,-0.0287,0.0106,3110
Fri Nov 17 2023,PLTR231117C00009000,6.95,0,6.75,6.85,0,0.7158,0.9526,0.017,2116,9.00,PLTR231117P00009000,0.13,0.005,0.13,0.14,10,0.7474,-0.0488,0.0171,17571
Fri Nov 17 2023,PLTR231117C00010000,5.97,-0.105,5.9,6,27,0.7373,0.923,0.0254,5362,10.00,PLTR231117P00010000,0.24,0.025,0.23,0.24,322,0.726,-0.0787,0.0256,12244
Fri Nov 17 2023,PLTR231117C00011000,4.98,0,5.05,5.15,0,0.7087,0.8826,0.0355,7153,11.00,PLTR231117P00011000,0.37,0.02,0.38,0.39,28,0.7086,-0.1195,0.0358,8594
Fri Nov 17 2023,PLTR231117C00012000,4.35,-0.1,4.3,4.35,12,0.6947,0.8312,0.0463,6107,12.00,PLTR231117P00012000,0.6,0.055,0.59,0.6,41,0.6933,-0.1715,0.0468,14398
Fri Nov 17 2023,PLTR231117C00013000,3.55,-0.175,3.55,3.65,34,0.6744,0.7696,0.0567,7755,13.00,PLTR231117P00013000,0.87,0.055,0.87,0.88,58,0.6801,-0.2339,0.0575,25071
Fri Nov 17 2023,PLTR231117C00014000,3.05,-0.025,2.97,3.05,27,0.6811,0.7002,0.0655,15490,14.00,PLTR231117P00014000,1.24,0.08,1.23,1.25,228,0.6716,-0.3044,0.0667,15362
Fri Nov 17 2023,PLTR231117C00015000,2.43,-0.095,2.44,2.46,636,0.6666,0.6268,0.0718,13627,15.00,PLTR231117P00015000,1.69,0.1,1.69,1.7,44,0.6674,-0.3792,0.0734,9118
Fri Nov 17 2023,PLTR231117C00016000,2,-0.06,1.98,2,163,0.6627,0.5528,0.0753,10425,16.00,PLTR231117P00016000,2.25,0.14,2.22,2.24,59,0.6642,-0.4551,0.0773,15371
Fri Nov 17 2023,PLTR231117C00017000,1.65,-0.015,1.6,1.62,62,0.6617,0.4812,0.076,13952,17.00,PLTR231117P00017000,2.81,0.095,2.83,2.85,240,0.6617,-0.5287,0.0784,6196
Fri Nov 17 2023,PLTR231117C00018000,1.31,-0.04,1.29,1.31,28,0.6629,0.4149,0.0741,17579,18.00,PLTR231117P00018000,3.5,0.125,3.5,3.55,273,0.6622,-0.5974,0.0771,2635
Fri Nov 17 2023,PLTR231117C00019000,1.08,-0.01,1.05,1.07,52,0.6707,0.3554,0.0704,8513,19.00,PLTR231117P00019000,4.22,0.095,4.2,4.3,81,0.6566,-0.6594,0.0738,1188
Fri Nov 17 2023,PLTR231117C00020000,0.86,-0.025,0.86,0.87,3731,0.6769,0.3036,0.0655,15469,20.00,PLTR231117P00020000,5.05,0.125,5,5.1,1,0.6595,-0.714,0.0694,997
Fri Nov 17 2023,PLTR231117C00021000,0.73,0,0.71,0.72,17,0.6842,0.2593,0.06,5320,21.00,PLTR231117P00021000,6.08,0.33,5.85,5.95,5,0.6662,-0.761,0.0644,582
Fri Nov 17 2023,PLTR231117C00022000,0.58,-0.02,0.58,0.59,35,0.6894,0.222,0.0544,3483,22.00,PLTR231117P00022000,6.95,0,6.75,6.85,0,0.6814,-0.801,0.0592,685
Fri Nov 17 2023,PLTR231117C00023000,0.46,-0.05,0.48,0.5,12,0.6995,0.1909,0.0491,8314,23.00,PLTR231117P00023000,7.75,0,7.65,7.75,0,0.6851,-0.8349,0.0542,165
Fri Nov 17 2023,PLTR231117C00024000,0.41,-0.02,0.4,0.42,2,0.7079,0.165,0.0441,4946,24.00,PLTR231117P00024000,8.05,0,8.6,8.7,0,0.7057,-0.8635,0.0495,204
Fri Nov 17 2023,PLTR231117C00025000,0.34,-0.03,0.34,0.36,45,0.719,0.1435,0.0396,19146,25.00,PLTR231117P00025000,8.9,0,9.55,9.65,0,0.7188,-0.8876,0.0453,418
Fri Nov 17 2023,PLTR231117C00026000,0.3,-0.02,0.3,0.31,6,0.7326,0.1256,0.0355,1215,26.00,PLTR231117P00026000,9.75,0,10.5,10.6,0,0.7225,-0.9079,0.0415,32
Fri Nov 17 2023,PLTR231117C00027000,0.26,-0.02,0.26,0.27,5,0.744,0.1107,0.032,911,27.00,PLTR231117P00027000,10.8,0,11.45,11.55,0,0.7114,-0.9252,0.0382,86
Fri Nov 17 2023,PLTR231117C00028000,0.23,-0.015,0.22,0.24,1,0.7539,0.0982,0.0288,567,28.00,PLTR231117P00028000,11.76,0,12.45,12.55,0,0.748,-0.9398,0.0351,36
Fri Nov 17 2023,PLTR231117C00029000,0.2,-0.02,0.2,0.21,4,0.767,0.0878,0.0261,1726,29.00,PLTR231117P00029000,11.45,0,13.4,13.55,0,0.7456,-0.9525,0.0329,19
Fri Nov 17 2023,PLTR231117C00030000,0.19,-0.005,0.18,0.19,1,0.7809,0.0789,0.0237,8964,30.00,PLTR231117P00030000,11.9,0,14.4,14.5,0,0,-0.9633,0.0303,60
Fri Nov 17 2023,PLTR231117C00031000,0.24,0,0.16,0.17,0,0.7916,0.0714,0.0216,127,31.00,PLTR231117P00031000,13.3,0,15.4,15.5,0,0,-0.9728,0.0288,3
