
PALANTIR TECHNOLOGIES INC.,Last: 15.545,Change:  -0.175
"Date: August 15, 2023 at 1:57 PM EDT",Bid: 15.54,Ask: 15.55,Size: 57*59,"Volume: 30,706,958"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Mar 15 2024,PLTR240315C00001000,14.66,-0.09,14.5,14.75,1,1.679,1,0.0002,6,1.00,PLTR240315P00001000,0.02,0,0,0.05,0,1.7065,-0.0013,0.0002,5
Fri Mar 15 2024,PLTR240315C00002000,0,0,13.5,13.75,0,0,0.999,0.0006,0,2.00,PLTR240315P00002000,0,0,0,0.06,0,1.2897,-0.0027,0.0006,0
Fri Mar 15 2024,PLTR240315C00003000,12.64,0,12.6,12.7,0,0,0.9968,0.0012,4,3.00,PLTR240315P00003000,0.04,0,0,0.06,0,1.0356,-0.0049,0.0012,5
Fri Mar 15 2024,PLTR240315C00004000,0,0,11.65,11.75,0,0.6246,0.9933,0.0022,0,4.00,PLTR240315P00004000,0.04,-0.005,0.01,0.04,50,0.839,-0.0084,0.0022,80
Fri Mar 15 2024,PLTR240315C00005000,10.9,0,10.7,10.85,0,0.7753,0.9873,0.0038,13,5.00,PLTR240315P00005000,0.06,0,0.04,0.07,32,0.801,-0.0145,0.0038,151
Fri Mar 15 2024,PLTR240315C00006000,9.85,0,9.8,9.9,0,0.7448,0.9775,0.0062,17,6.00,PLTR240315P00006000,0.1,0,0.07,0.1,0,0.7395,-0.0243,0.0063,18
Fri Mar 15 2024,PLTR240315C00007000,12.21,0,8.9,9,0,0.72,0.9627,0.0097,2,7.00,PLTR240315P00007000,0.17,-0.02,0.16,0.18,58,0.7329,-0.0393,0.0098,36
Fri Mar 15 2024,PLTR240315C00008000,8.1,0,8.05,8.15,0,0.7122,0.9419,0.0141,167,8.00,PLTR240315P00008000,0.25,-0.01,0.26,0.28,1,0.708,-0.0603,0.0143,211
Fri Mar 15 2024,PLTR240315C00009000,7.35,0,7.2,7.3,0,0.6802,0.9147,0.0192,112,9.00,PLTR240315P00009000,0.47,0,0.41,0.43,0,0.6933,-0.0879,0.0195,50
Fri Mar 15 2024,PLTR240315C00010000,6.41,-0.24,6.45,6.55,1,0.6799,0.8814,0.0248,143,10.00,PLTR240315P00010000,0.62,0,0.6,0.63,0,0.6789,-0.1221,0.0253,2984
Fri Mar 15 2024,PLTR240315C00011000,5.74,0,5.75,5.8,0,0.6676,0.8425,0.0305,94,11.00,PLTR240315P00011000,0.87,0.03,0.85,0.88,5,0.6678,-0.162,0.0312,2282
Fri Mar 15 2024,PLTR240315C00012000,5.1,0,5.05,5.15,0,0.6558,0.799,0.0359,172,12.00,PLTR240315P00012000,1.16,0,1.16,1.19,0,0.6594,-0.2066,0.0369,707
Fri Mar 15 2024,PLTR240315C00013000,4.4,-0.225,4.45,4.55,20,0.6506,0.7521,0.0408,273,13.00,PLTR240315P00013000,1.53,0.03,1.53,1.56,2,0.6524,-0.255,0.0422,2602
Fri Mar 15 2024,PLTR240315C00014000,4.05,0,3.95,4,0,0.6503,0.7031,0.0449,481,14.00,PLTR240315P00014000,1.93,0,1.96,2,0,0.6478,-0.3059,0.0467,214
Fri Mar 15 2024,PLTR240315C00015000,3.49,-0.11,3.45,3.55,29,0.6489,0.6531,0.0482,1871,15.00,PLTR240315P00015000,2.49,0.09,2.45,2.49,5,0.6432,-0.358,0.0504,2830
Fri Mar 15 2024,PLTR240315C00016000,3.05,-0.1,3,3.1,32,0.6418,0.6033,0.0505,1585,16.00,PLTR240315P00016000,2.99,0.045,2.99,3.05,3,0.6403,-0.4103,0.0532,353
Fri Mar 15 2024,PLTR240315C00017000,2.69,-0.065,2.65,2.7,6,0.641,0.5546,0.052,2781,17.00,PLTR240315P00017000,3.61,0,3.55,3.65,0,0.6331,-0.4618,0.0552,3318
Fri Mar 15 2024,PLTR240315C00018000,2.22,-0.19,2.32,2.36,25,0.6394,0.5078,0.0526,1021,18.00,PLTR240315P00018000,4.53,0,4.25,4.3,0,0.6364,-0.5118,0.0563,240
Fri Mar 15 2024,PLTR240315C00019000,2.09,-0.02,2.03,2.07,4,0.6392,0.4636,0.0524,3075,19.00,PLTR240315P00019000,5.05,0,4.95,5,0,0.6361,-0.5595,0.0567,115
Fri Mar 15 2024,PLTR240315C00020000,1.79,-0.055,1.78,1.82,76,0.6399,0.4224,0.0515,5812,20.00,PLTR240315P00020000,5.6,0,5.65,5.75,1,0.6328,-0.6043,0.0564,4382
Fri Mar 15 2024,PLTR240315C00021000,1.61,0,1.56,1.6,0,0.6405,0.3846,0.0501,1584,21.00,PLTR240315P00021000,4.85,0,6.45,6.55,0,0.6386,-0.646,0.0557,1
