
PALANTIR TECHNOLOGIES INC.,Last: 15.545,Change:  -0.175
"Date: August 15, 2023 at 1:58 PM EDT",Bid: 15.54,Ask: 15.55,Size: 57*59,"Volume: 30,706,958"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jun 20 2025,PLTR250620C00003000,13,-0.2,12.95,13.1,2,0.7523,0.9922,0.0022,162,3.00,PLTR250620P00003000,0.15,0,0.11,0.23,0,0.8252,-0.0147,0.0023,11
Fri Jun 20 2025,PLTR250620C00005000,11.52,-0.08,11.25,11.5,4,0.6642,0.9671,0.0057,149,5.00,PLTR250620P00005000,0.4,0,0.22,0.45,0,0.694,-0.0405,0.0058,20
Fri Jun 20 2025,PLTR250620C00008000,9.35,-0.225,9.3,9.5,4,0.6728,0.9082,0.0122,392,8.00,PLTR250620P00008000,1.04,0,1.04,1.08,0,0.6725,-0.1021,0.0128,349
Fri Jun 20 2025,PLTR250620C00010000,8.25,-0.125,8.15,8.3,24,0.6555,0.86,0.0164,1351,10.00,PLTR250620P00010000,1.72,0,1.73,1.8,0,0.6623,-0.1533,0.0176,489
Fri Jun 20 2025,PLTR250620C00013000,6.75,-0.175,6.7,6.85,5,0.6435,0.7822,0.0218,334,13.00,PLTR250620P00013000,3.07,0.02,3.05,3.15,11,0.648,-0.238,0.0241,302
Fri Jun 20 2025,PLTR250620C00015000,6,-0.15,5.9,6.05,197,0.6385,0.7299,0.0246,1462,15.00,PLTR250620P00015000,4.2,0.1,4.1,4.25,15,0.6423,-0.2964,0.0278,458
Fri Jun 20 2025,PLTR250620C00017000,5.3,-0.1,5.25,5.35,42,0.6367,0.679,0.0268,2801,17.00,PLTR250620P00017000,5.37,0.045,5.3,5.45,4,0.6376,-0.3551,0.0311,208
Fri Jun 20 2025,PLTR250620C00020000,4.45,-0.1,4.4,4.5,141,0.6339,0.6072,0.0289,1859,20.00,PLTR250620P00020000,7.49,0.19,7.3,7.5,4,0.6361,-0.4403,0.035,312
Fri Jun 20 2025,PLTR250620C00022000,4.04,0,3.9,4.05,0,0.6324,0.5633,0.0296,579,22.00,PLTR250620P00022000,9.05,0,8.75,8.95,0,0.634,-0.4947,0.0372,105
Fri Jun 20 2025,PLTR250620C00025000,3.45,-0.025,3.3,3.45,12,0.6306,0.5036,0.0299,2293,25.00,PLTR250620P00025000,11.22,0.17,11.05,11.25,1,0.6326,-0.5716,0.0397,62
Fri Jun 20 2025,PLTR250620C00027000,3.07,-0.055,2.94,3.15,131,0.6271,0.4679,0.0298,236,27.00,PLTR250620P00027000,12.75,0.025,12.65,13.15,1,0.6444,-0.6198,0.0412,11
Fri Jun 20 2025,PLTR250620C00030000,2.63,-0.08,2.6,2.7,11,0.634,0.4201,0.0292,1633,30.00,PLTR250620P00030000,15.31,0,15.2,15.55,0,0.6413,-0.6877,0.0428,57
Fri Jun 20 2025,PLTR250620C00032000,2.4,-0.1,2.35,2.52,11,0.6373,0.3918,0.0286,153,32.00,PLTR250620P00032000,15.95,0,16.95,17.3,0,0.6361,-0.7301,0.044,2
Fri Jun 20 2025,PLTR250620C00035000,2.07,-0.115,2.06,2.26,61,0.6428,0.354,0.0276,587,35.00,PLTR250620P00035000,0,0,19.7,19.95,0,0.6378,-0.7898,0.0452,0
Fri Jun 20 2025,PLTR250620C00037000,1.85,-0.185,1.84,2.01,11,0.6352,0.3316,0.0268,106,37.00,PLTR250620P00037000,21.9,0,21.5,22.1,0,0.6524,-0.8284,0.0465,1
Fri Jun 20 2025,PLTR250620C00040000,1.65,-0.14,1.61,1.79,14,0.6367,0.3016,0.0256,1391,40.00,PLTR250620P00040000,22.85,0,24.05,25.3,0,0.6662,-0.8823,0.0478,1
