
PALANTIR TECHNOLOGIES INC.,Last: 15.545,Change:  -0.175
"Date: August 15, 2023 at 1:56 PM EDT",Bid: 15.54,Ask: 15.55,Size: 57*59,"Volume: 30,706,958"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Oct 20 2023,PLTR231020C00001000,14.4,0,14.45,14.7,0,2.7046,0.9995,0.0002,2,1.00,PLTR231020P00001000,0,0,0,0.05,0,3.0366,-0.0011,0.0002,0
Fri Oct 20 2023,PLTR231020C00002000,0,0,13.5,13.7,0,2.2408,0.9987,0.0005,0,2.00,PLTR231020P00002000,0,0,0,0.05,0,2.2301,-0.0019,0.0005,0
Fri Oct 20 2023,PLTR231020C00003000,13.75,0,12.5,12.7,0,1.6838,0.998,0.0008,5,3.00,PLTR231020P00003000,0,0,0,0.05,0,1.7873,-0.0026,0.0008,0
Fri Oct 20 2023,PLTR231020C00004000,12.67,0,11.55,11.7,0,1.5309,0.997,0.0012,1,4.00,PLTR231020P00004000,0,0,0,0.05,0,1.4826,-0.0036,0.0012,0
Fri Oct 20 2023,PLTR231020C00005000,10.45,0,10.55,10.65,0,0,0.9956,0.0019,29,5.00,PLTR231020P00005000,0.06,0,0,0.02,0,1.1102,-0.005,0.0019,15
Fri Oct 20 2023,PLTR231020C00006000,9.5,0,9.55,9.65,0,0,0.9934,0.003,61,6.00,PLTR231020P00006000,0,0,0,0.03,0,0.9907,-0.0072,0.003,0
Fri Oct 20 2023,PLTR231020C00007000,8.82,0.02,8.6,8.7,3,0.9132,0.9899,0.0047,17,7.00,PLTR231020P00007000,0.02,0,0,0.03,0,0.8421,-0.0107,0.0048,734
Fri Oct 20 2023,PLTR231020C00008000,7.59,0,7.6,7.7,0,0.7253,0.9837,0.0078,37,8.00,PLTR231020P00008000,0.03,0,0.02,0.03,0,0.7668,-0.017,0.0078,539
Fri Oct 20 2023,PLTR231020C00009000,6.58,-0.27,6.65,6.75,12,0.7422,0.9722,0.0131,92,9.00,PLTR231020P00009000,0.06,0.005,0.05,0.06,9,0.7366,-0.0285,0.0132,315
Fri Oct 20 2023,PLTR231020C00010000,5.75,-0.15,5.7,5.8,68,0.6911,0.9519,0.0217,581,10.00,PLTR231020P00010000,0.1,0.005,0.1,0.11,83,0.7023,-0.049,0.0218,961
Fri Oct 20 2023,PLTR231020C00011000,4.84,-0.16,4.8,4.9,10,0.6713,0.9181,0.0343,192,11.00,PLTR231020P00011000,0.18,0.015,0.18,0.19,16,0.6681,-0.083,0.0345,2698
Fri Oct 20 2023,PLTR231020C00012000,4.07,-0.055,3.95,4.05,6,0.6503,0.8676,0.0501,318,12.00,PLTR231020P00012000,0.32,0.03,0.32,0.33,32,0.6473,-0.1338,0.0505,2691
