
PALANTIR TECHNOLOGIES INC.,Last: 15.545,Change:  -0.175
"Date: August 15, 2023 at 1:55 PM EDT",Bid: 15.54,Ask: 15.55,Size: 57*59,"Volume: 30,706,958"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Sep 01 2023,PLTR230901C00002500,13.35,0,12.95,13.2,0,3.6676,0.9991,0.0004,2,2.50,PLTR230901P00002500,0,0,0,0.02,0,3.452,-0.0014,0.0004,0
Fri Sep 01 2023,PLTR230901C00005000,0,0,10.45,10.7,0,2.1679,0.9976,0.0013,0,5.00,PLTR230901P00005000,0,0,0,0.02,0,2.1686,-0.0029,0.0013,0
Fri Sep 01 2023,PLTR230901C00006000,0,0,9.5,9.6,0,0,0.9966,0.0019,0,6.00,PLTR230901P00006000,0,0,0,0.05,0,2.073,-0.0038,0.0019,0
Fri Sep 01 2023,PLTR230901C00007000,9.43,0,8.5,8.6,0,0,0.9955,0.0028,1,7.00,PLTR230901P00007000,0,0,0,0.02,0,1.5588,-0.005,0.0028,0
Fri Sep 01 2023,PLTR230901C00007500,0,0,8,8.1,0,0,0.9947,0.0034,0,7.50,PLTR230901P00007500,0,0,0,0.02,0,1.4339,-0.0057,0.0034,0
Fri Sep 01 2023,PLTR230901C00008000,7.47,0,7.5,7.6,0,1.1217,0.9939,0.0042,8,8.00,PLTR230901P00008000,0.02,0,0,0.02,0,1.317,-0.0066,0.0042,13
Fri Sep 01 2023,PLTR230901C00009000,6.58,0,6.55,6.6,0,0,0.9916,0.0063,105,9.00,PLTR230901P00009000,0.02,0,0,0.02,0,1.1028,-0.0089,0.0063,20
Fri Sep 01 2023,PLTR230901C00009500,0,0,6.05,6.15,0,1.133,0.99,0.0079,0,9.50,PLTR230901P00009500,0,0,0,0.02,0,1.004,-0.0105,0.0079,0
Fri Sep 01 2023,PLTR230901C00010000,5.56,-0.19,5.55,5.65,2,1.0199,0.9878,0.0101,91,10.00,PLTR230901P00010000,0.01,0,0,0.01,0,0.8352,-0.0126,0.0101,1928
Fri Sep 01 2023,PLTR230901C00010500,0,0,5.05,5.15,0,0.9124,0.9848,0.0131,0,10.50,PLTR230901P00010500,0,0,0,0.03,0,0.8674,-0.0157,0.0131,0
Fri Sep 01 2023,PLTR230901C00011000,4.6,-0.15,4.55,4.65,10,0.8099,0.9801,0.0177,125,11.00,PLTR230901P00011000,0.02,0,0.02,0.03,5,0.8416,-0.0204,0.0177,230
Fri Sep 01 2023,PLTR230901C00011500,3.98,0,4.05,4.15,0,0.7119,0.9723,0.0249,28,11.50,PLTR230901P00011500,0.03,0,0.02,0.03,0,0.7484,-0.0282,0.0249,115
