
PALANTIR TECHNOLOGIES INC.,Last: 15.545,Change:  -0.175
"Date: August 15, 2023 at 1:57 PM EDT",Bid: 15.54,Ask: 15.55,Size: 57*59,"Volume: 30,706,958"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Feb 16 2024,PLTR240216C00001000,17.45,0,14.5,14.75,0,1.8237,1,0.0003,4,1.00,PLTR240216P00001000,0,0,0,0.05,0,1.8278,-0.0014,0.0003,0
Fri Feb 16 2024,PLTR240216C00002000,0,0,13.5,13.75,0,0,0.9989,0.0006,0,2.00,PLTR240216P00002000,0,0,0,0.05,0,1.3448,-0.0029,0.0006,0
Fri Feb 16 2024,PLTR240216C00003000,0,0,12.6,12.7,0,0,0.9968,0.0012,0,3.00,PLTR240216P00003000,0,0,0,0.06,0,1.1083,-0.0051,0.0012,0
Fri Feb 16 2024,PLTR240216C00004000,11.55,0,11.65,11.75,0,0.8525,0.9933,0.0022,1,4.00,PLTR240216P00004000,0.01,0,0,0.07,0,0.9424,-0.0085,0.0022,112
Fri Feb 16 2024,PLTR240216C00005000,10.6,0,10.7,10.8,0,0.8125,0.9875,0.0038,54,5.00,PLTR240216P00005000,0.04,-0.02,0.02,0.07,34,0.8287,-0.0144,0.0038,67
Fri Feb 16 2024,PLTR240216C00006000,9.7,-0.275,9.75,9.85,5,0.7467,0.9781,0.0062,1,6.00,PLTR240216P00006000,0.1,0.015,0.08,0.11,50,0.8069,-0.0238,0.0063,25
Fri Feb 16 2024,PLTR240216C00007000,8.85,-0.2,8.85,8.95,28,0.7441,0.964,0.0096,5,7.00,PLTR240216P00007000,0.15,0.005,0.14,0.18,62,0.7721,-0.0382,0.0097,45
Fri Feb 16 2024,PLTR240216C00008000,8,-0.2,8,8.1,21,0.747,0.944,0.0141,107,8.00,PLTR240216P00008000,0.25,0,0.24,0.27,0,0.7439,-0.0584,0.0142,202
Fri Feb 16 2024,PLTR240216C00009000,7.15,-0.2,7.15,7.25,1,0.718,0.9177,0.0194,36,9.00,PLTR240216P00009000,0.41,0,0.37,0.4,0,0.7192,-0.085,0.0196,66
Fri Feb 16 2024,PLTR240216C00010000,6.33,0,6.35,6.45,0,0.698,0.885,0.0253,131,10.00,PLTR240216P00010000,0.54,0,0.55,0.57,0,0.6991,-0.1183,0.0257,2605
Fri Feb 16 2024,PLTR240216C00011000,5.59,-0.21,5.6,5.7,2,0.6812,0.8462,0.0315,152,11.00,PLTR240216P00011000,0.78,0,0.77,0.8,0,0.682,-0.1579,0.0322,1955
Fri Feb 16 2024,PLTR240216C00012000,4.95,-0.15,4.9,5,5,0.6656,0.8019,0.0377,443,12.00,PLTR240216P00012000,1.04,0.005,1.05,1.09,102,0.6688,-0.2032,0.0386,208
Fri Feb 16 2024,PLTR240216C00013000,4.1,0,4.3,4.4,0,0.6642,0.753,0.0433,254,13.00,PLTR240216P00013000,1.42,0.05,1.4,1.44,11,0.659,-0.2535,0.0446,637
Fri Feb 16 2024,PLTR240216C00014000,3.89,0,3.75,3.8,0,0.6537,0.7009,0.0481,349,14.00,PLTR240216P00014000,1.88,0.105,1.82,1.85,1,0.6514,-0.3073,0.0498,1152
Fri Feb 16 2024,PLTR240216C00015000,3.25,-0.1,3.25,3.3,17,0.6485,0.6473,0.0518,289,15.00,PLTR240216P00015000,2.25,0,2.3,2.34,0,0.647,-0.3629,0.0539,447
Fri Feb 16 2024,PLTR240216C00016000,2.82,-0.09,2.8,2.87,119,0.6449,0.5938,0.0543,968,16.00,PLTR240216P00016000,2.87,0.07,2.83,2.9,1,0.6436,-0.4187,0.0569,272
Fri Feb 16 2024,PLTR240216C00017000,2.5,-0.04,2.42,2.48,6,0.6435,0.5417,0.0557,849,17.00,PLTR240216P00017000,3.62,0,3.4,3.5,0,0.6371,-0.4735,0.0587,2076
Fri Feb 16 2024,PLTR240216C00018000,2.11,-0.095,2.1,2.15,21,0.6428,0.492,0.056,657,18.00,PLTR240216P00018000,4.05,0.05,4.1,4.15,5,0.64,-0.5261,0.0596,172
Fri Feb 16 2024,PLTR240216C00019000,1.79,-0.11,1.82,1.86,33,0.643,0.4454,0.0554,892,19.00,PLTR240216P00019000,4.85,0.15,4.8,4.85,14,0.6383,-0.576,0.0595,977
Fri Feb 16 2024,PLTR240216C00020000,1.59,-0.055,1.58,1.62,2,0.6449,0.4023,0.0541,2804,20.00,PLTR240216P00020000,5.6,0,5.55,5.6,0,0.6449,-0.6225,0.0588,682
Fri Feb 16 2024,PLTR240216C00021000,1.39,0,1.38,1.41,0,0.6475,0.363,0.0522,1982,21.00,PLTR240216P00021000,6.7,0,6.3,6.4,0,0.6368,-0.6654,0.0575,184
Fri Feb 16 2024,PLTR240216C00022000,1.2,-0.055,1.2,1.24,132,0.6506,0.3277,0.05,2415,22.00,PLTR240216P00022000,6.74,0,7.15,7.25,0,0.646,-0.7045,0.0558,43
Fri Feb 16 2024,PLTR240216C00023000,1.09,0,1.06,1.09,0,0.6552,0.2961,0.0475,1233,23.00,PLTR240216P00023000,5.92,0,8,8.1,0,0.6485,-0.7399,0.0539,1
Fri Feb 16 2024,PLTR240216C00024000,0.92,-0.055,0.93,0.97,3,0.6599,0.268,0.045,569,24.00,PLTR240216P00024000,0,0,8.9,9,0,0.6514,-0.7718,0.0518,0
Fri Feb 16 2024,PLTR240216C00025000,0.85,-0.015,0.83,0.87,7,0.6669,0.2432,0.0424,1081,25.00,PLTR240216P00025000,8,0,9.8,9.85,0,0.656,-0.8005,0.0497,23
Fri Feb 16 2024,PLTR240216C00026000,0.78,0,0.74,0.78,0,0.6727,0.2212,0.0398,82,26.00,PLTR240216P00026000,8.75,0,10.7,10.8,0,0.6638,-0.8263,0.0477,582
Fri Feb 16 2024,PLTR240216C00027000,0.76,0,0.66,0.7,0,0.6779,0.2018,0.0374,44,27.00,PLTR240216P00027000,0,0,11.65,11.7,0,0.6662,-0.8495,0.0457,0
Fri Feb 16 2024,PLTR240216C00028000,0.72,0,0.6,0.62,0,0.6828,0.1847,0.0351,120,28.00,PLTR240216P00028000,10.6,0,12.6,12.65,0,0.6741,-0.8704,0.0438,2
Fri Feb 16 2024,PLTR240216C00029000,0.72,0,0.54,0.56,0,0.6881,0.1694,0.0329,415,29.00,PLTR240216P00029000,0,0,13.55,13.65,0,0.677,-0.8896,0.0421,0
Fri Feb 16 2024,PLTR240216C00030000,0.47,-0.04,0.49,0.51,6,0.6944,0.1559,0.0309,655,30.00,PLTR240216P00030000,11.29,0,14.5,14.6,0,0.6893,-0.9065,0.0402,6
Fri Feb 16 2024,PLTR240216C00031000,0.48,0,0.45,0.47,0,0.702,0.1439,0.029,86,31.00,PLTR240216P00031000,13.15,0,15.45,15.55,0,0.6785,-0.9225,0.0391,9
Fri Feb 16 2024,PLTR240216C00032000,0.76,0,0.41,0.43,0,0.7076,0.1332,0.0273,18,32.00,PLTR240216P00032000,14.2,0,16.45,16.55,0,0.703,-0.9363,0.0371,4
Fri Feb 16 2024,PLTR240216C00033000,0.42,0,0.37,0.39,0,0.7111,0.1235,0.0256,49,33.00,PLTR240216P00033000,15.9,0,17.45,17.55,0,0.7266,-0.9502,0.0365,2
Fri Feb 16 2024,PLTR240216C00034000,0.36,-0.005,0.35,0.36,3,0.7194,0.1149,0.0241,216,34.00,PLTR240216P00034000,0,0,18.4,18.55,0,0.7234,-0.9615,0.0348,0
Fri Feb 16 2024,PLTR240216C00035000,0.33,-0.005,0.32,0.34,20,0.7263,0.1071,0.0228,447,35.00,PLTR240216P00035000,19.5,0,19.4,19.5,0,0,-0.971,0.0303,8
Fri Feb 16 2024,PLTR240216C00036000,0.28,-0.035,0.3,0.31,3,0.7316,0.1001,0.0215,5,36.00,PLTR240216P00036000,17.95,0,20.4,20.5,0,0,-0.9789,0.0264,1
Fri Feb 16 2024,PLTR240216C00037000,0.68,0,0.27,0.29,0,0.7355,0.0937,0.0203,3,37.00,PLTR240216P00037000,18.9,0,21.4,21.5,0,0,-0.9849,0.0197,11
Fri Feb 16 2024,PLTR240216C00038000,0.92,0,0.25,0.27,0,0.7407,0.0879,0.0192,3,38.00,PLTR240216P00038000,0,0,22.4,22.5,0,0,-0.9901,0.0128,0
Fri Feb 16 2024,PLTR240216C00039000,0.24,0,0.24,0.25,0,0.7472,0.0828,0.0182,47,39.00,PLTR240216P00039000,20.55,0,23.4,23.5,0,0,-0.9939,0.0078,0
Fri Feb 16 2024,PLTR240216C00040000,0.21,-0.015,0.22,0.25,1,0.7567,0.0778,0.0172,123,40.00,PLTR240216P00040000,0,0,24.35,24.6,0,0.8449,-0.9965,0.0044,0
