
PALANTIR TECHNOLOGIES INC.,Last: 15.545,Change:  -0.175
"Date: August 15, 2023 at 1:57 PM EDT",Bid: 15.54,Ask: 15.55,Size: 57*59,"Volume: 30,706,958"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jan 19 2024,PLTR240119C00001000,14.53,-0.22,14.5,14.7,1,1.7783,1,0.0002,237,1.00,PLTR240119P00001000,0.01,0,0,0.02,0,1.7504,-0.001,0.0002,194
Fri Jan 19 2024,PLTR240119C00002000,16.65,0,13.5,13.75,0,1.3358,0.9995,0.0004,48,2.00,PLTR240119P00002000,0.02,0,0,0.02,0,1.2937,-0.0018,0.0004,1019
Fri Jan 19 2024,PLTR240119C00003000,12.6,0,12.55,12.7,0,0,0.9984,0.0008,1907,3.00,PLTR240119P00003000,0.01,0,0,0.03,0,1.0923,-0.003,0.0008,4807
Fri Jan 19 2024,PLTR240119C00004000,11.46,0,11.6,11.7,0,0,0.9965,0.0015,74,4.00,PLTR240119P00004000,0.02,0,0,0.03,0,0.9074,-0.0048,0.0015,748
Fri Jan 19 2024,PLTR240119C00005000,10.7,-0.15,10.65,10.75,3,0.7845,0.9931,0.0026,4898,5.00,PLTR240119P00005000,0.03,0.005,0.02,0.03,9,0.8206,-0.0082,0.0027,16295
Fri Jan 19 2024,PLTR240119C00006000,9.6,0,9.7,9.8,0,0.7634,0.9866,0.0047,98,6.00,PLTR240119P00006000,0.04,0,0.04,0.05,0,0.7642,-0.0148,0.0047,926
Fri Jan 19 2024,PLTR240119C00007000,8.8,-0.175,8.75,8.85,5,0.7078,0.9752,0.0081,10926,7.00,PLTR240119P00007000,0.09,0.005,0.08,0.09,13,0.7313,-0.0262,0.0081,25178
Fri Jan 19 2024,PLTR240119C00008000,7.86,-0.19,7.85,7.95,5,0.7035,0.9572,0.0128,1986,8.00,PLTR240119P00008000,0.16,0.005,0.15,0.16,1,0.7104,-0.0444,0.0129,7875
Fri Jan 19 2024,PLTR240119C00009000,7.05,-0.15,7,7.1,2,0.7036,0.9315,0.0189,4853,9.00,PLTR240119P00009000,0.25,0,0.25,0.27,1,0.6915,-0.0705,0.0191,10987
Fri Jan 19 2024,PLTR240119C00010000,6.27,-0.08,6.15,6.25,105,0.6732,0.898,0.0258,61187,10.00,PLTR240119P00010000,0.41,0.015,0.41,0.43,45,0.6816,-0.1045,0.0262,59102
Fri Jan 19 2024,PLTR240119C00011000,5.4,0,5.4,5.5,0,0.672,0.857,0.0332,3588,11.00,PLTR240119P00011000,0.62,0.03,0.61,0.64,1,0.6681,-0.1461,0.0338,8103
Fri Jan 19 2024,PLTR240119C00012000,4.8,-0.05,4.7,4.8,7,0.6654,0.8094,0.0405,8722,12.00,PLTR240119P00012000,0.89,0.045,0.89,0.91,82,0.6604,-0.1947,0.0413,8214
Fri Jan 19 2024,PLTR240119C00013000,4.14,-0.06,4.05,4.15,8,0.6553,0.7562,0.0473,39712,13.00,PLTR240119P00013000,1.23,0.06,1.22,1.24,6,0.6504,-0.249,0.0484,18083
Fri Jan 19 2024,PLTR240119C00014000,3.44,-0.16,3.45,3.55,7,0.6425,0.6992,0.053,6678,14.00,PLTR240119P00014000,1.61,0.05,1.63,1.65,34,0.6457,-0.3076,0.0545,4614
Fri Jan 19 2024,PLTR240119C00015000,3.05,-0.025,2.98,3.05,296,0.6448,0.6401,0.0573,46007,15.00,PLTR240119P00015000,2.1,0.085,2.1,2.13,191,0.6411,-0.3686,0.0593,15964
Fri Jan 19 2024,PLTR240119C00016000,2.58,-0.035,2.54,2.57,267,0.6377,0.581,0.0601,18096,16.00,PLTR240119P00016000,2.64,0.09,2.64,2.67,7,0.6374,-0.4299,0.0625,1720
Fri Jan 19 2024,PLTR240119C00017000,2.2,-0.03,2.16,2.19,35,0.6368,0.5236,0.0613,11404,17.00,PLTR240119P00017000,3.25,0.1,3.25,3.3,2,0.6391,-0.4899,0.0643,3023
Fri Jan 19 2024,PLTR240119C00018000,1.85,-0.045,1.84,1.86,480,0.6369,0.4693,0.0612,32900,18.00,PLTR240119P00018000,3.77,-0.03,3.9,3.95,2,0.6349,-0.5471,0.0647,4887
Fri Jan 19 2024,PLTR240119C00019000,1.6,-0.015,1.56,1.59,64,0.638,0.419,0.0599,19060,19.00,PLTR240119P00019000,4.64,0.14,4.6,4.7,24,0.6374,-0.6006,0.064,804
Fri Jan 19 2024,PLTR240119C00020000,1.35,-0.03,1.34,1.36,539,0.6417,0.3731,0.0578,70694,20.00,PLTR240119P00020000,5.38,0.13,5.35,5.45,4,0.6352,-0.6497,0.0624,4532
Fri Jan 19 2024,PLTR240119C00021000,1.16,-0.02,1.14,1.17,443,0.6458,0.332,0.0551,7264,21.00,PLTR240119P00021000,6.04,0,6.15,6.25,0,0.6362,-0.6942,0.0602,170
Fri Jan 19 2024,PLTR240119C00022000,1.01,-0.005,0.99,1,188,0.6487,0.2956,0.052,6725,22.00,PLTR240119P00022000,6.61,0,7,7.1,0,0.6425,-0.7343,0.0577,447
Fri Jan 19 2024,PLTR240119C00023000,0.86,-0.015,0.85,0.87,68,0.6533,0.2634,0.0488,12936,23.00,PLTR240119P00023000,6.16,0,7.85,7.95,0,0.6401,-0.7701,0.055,202
Fri Jan 19 2024,PLTR240119C00024000,0.74,-0.03,0.75,0.76,43,0.6608,0.2352,0.0455,3742,24.00,PLTR240119P00024000,7.31,0,8.75,8.85,0,0.6465,-0.802,0.0522,16
Fri Jan 19 2024,PLTR240119C00025000,0.65,-0.03,0.65,0.67,300,0.6663,0.2106,0.0423,39062,25.00,PLTR240119P00025000,9.65,0,9.7,9.8,0,0.6661,-0.8303,0.0495,197
Fri Jan 19 2024,PLTR240119C00026000,0.57,-0.025,0.57,0.59,18,0.6722,0.189,0.0393,6689,26.00,PLTR240119P00026000,8.6,0,10.6,10.7,0,0.6583,-0.8556,0.0469,29
Fri Jan 19 2024,PLTR240119C00027000,0.5,-0.025,0.5,0.52,4,0.6773,0.17,0.0364,10095,27.00,PLTR240119P00027000,10.03,0,11.55,11.65,0,0.6665,-0.8782,0.0445,77
Fri Jan 19 2024,PLTR240119C00028000,0.43,-0.045,0.44,0.47,2,0.6845,0.1534,0.0337,1685,28.00,PLTR240119P00028000,12.65,0,12.5,12.6,0,0.668,-0.8986,0.0423,26
Fri Jan 19 2024,PLTR240119C00029000,0.43,0,0.4,0.42,0,0.6926,0.1388,0.0312,851,29.00,PLTR240119P00029000,13.8,0,13.5,13.6,0,0.6979,-0.9166,0.0399,277
Fri Jan 19 2024,PLTR240119C00030000,0.36,-0.02,0.35,0.38,217,0.6977,0.126,0.0289,33873,30.00,PLTR240119P00030000,13.6,0,14.45,14.55,0,0.6869,-0.9334,0.0384,117
Fri Jan 19 2024,PLTR240119C00031000,0.33,0,0.32,0.34,0,0.7048,0.1145,0.0268,1702,31.00,PLTR240119P00031000,12.9,0,15.45,15.55,0,0.7138,-0.9484,0.0364,4
Fri Jan 19 2024,PLTR240119C00032000,0.3,-0.01,0.28,0.31,94,0.7093,0.1044,0.0249,3748,32.00,PLTR240119P00032000,15.3,0,16.4,16.55,0,0.7109,-0.9621,0.0352,465
Fri Jan 19 2024,PLTR240119C00033000,0.26,-0.025,0.26,0.28,2,0.717,0.0954,0.0231,203,33.00,PLTR240119P00033000,14.55,0,17.4,17.55,0,0,-0.973,0.0304,15
Fri Jan 19 2024,PLTR240119C00034000,0.26,0,0.23,0.25,0,0.7195,0.0873,0.0214,2087,34.00,PLTR240119P00034000,15.4,0,18.4,18.5,0,0,-0.9819,0.0256,12
Fri Jan 19 2024,PLTR240119C00035000,0.21,-0.025,0.21,0.23,60,0.7262,0.0801,0.0199,11657,35.00,PLTR240119P00035000,16.4,0,19.4,19.5,0,0,-0.9885,0.0167,89
Fri Jan 19 2024,PLTR240119C00036000,0.2,-0.015,0.19,0.21,80,0.7312,0.0736,0.0186,628,36.00,PLTR240119P00036000,20.65,0,20.4,20.5,0,0,-0.9937,0.009,0
Fri Jan 19 2024,PLTR240119C00037000,0.19,-0.005,0.17,0.19,3,0.7343,0.0678,0.0173,8935,37.00,PLTR240119P00037000,17.75,0,21.4,21.5,0,0,-0.9969,0.0044,0
Fri Jan 19 2024,PLTR240119C00038000,0.19,0,0.16,0.17,0,0.739,0.0626,0.0161,49,38.00,PLTR240119P00038000,0,0,22.4,22.5,0,0,-0.9994,0.0008,0
Fri Jan 19 2024,PLTR240119C00039000,0.18,0,0.15,0.16,0,0.7471,0.0579,0.0151,19,39.00,PLTR240119P00039000,21.35,0,23.4,23.5,0,0,-1,0,0
Fri Jan 19 2024,PLTR240119C00040000,0.14,-0.015,0.13,0.15,31,0.7495,0.0535,0.0141,23343,40.00,PLTR240119P00040000,21.45,0,24.4,24.5,0,0,-1,0,0
