"Contract Name","Last Trade Date (EDT)","Strike","Last Price","Bid","Ask","Change","% Change","Volume","Open Interest","Implied Volatility"
"PLTR250314C00045000","3/12/2025 3:28 PM","45","39.35","38.45","38.85","5.10","14.89%","15","28","50.00%"
"PLTR250314C00050000","3/12/2025 3:09 PM","50","33.93","33.45","33.85","7.43","28.04%","2","58","50.00%"
"PLTR250314C00053000","3/12/2025 3:29 PM","53","31.03","30.45","30.90","4.78","18.21%","8","166","246.88%"
"PLTR250314C00054000","3/12/2025 3:29 PM","54","30.07","29.45","29.90","5.07","20.28%","4","85","237.50%"
"PLTR250314C00055000","3/12/2025 2:01 PM","55","27.97","28.45","28.90","3.47","14.16%","2","341","228.13%"
"PLTR250314C00056000","3/12/2025 11:00 AM","56","25.05","27.45","27.90","2.40","10.60%","20","126","220.31%"
"PLTR250314C00057000","3/12/2025 11:57 AM","57","25.80","26.45","26.90","3.35","14.92%","11","171","210.94%"
"PLTR250314C00058000","3/11/2025 3:56 PM","58","26.05","25.45","25.90","5.60","27.38%","26","37","203.13%"
"PLTR250314C00059000","3/12/2025 10:52 AM","59","22.40","24.45","24.90","2.35","11.72%","42","162","193.75%"
"PLTR250314C00060000","3/12/2025 2:38 PM","60","24.30","23.45","23.90","5.45","28.91%","118","205","185.94%"
"PLTR250314C00061000","3/12/2025 10:44 AM","61","23.05","22.45","22.90","4.80","26.30%","185","83","176.56%"
"PLTR250314C00062000","3/12/2025 3:05 PM","62","22.30","21.45","21.80","5.30","31.18%","46","50","219.53%"
"PLTR250314C00063000","3/12/2025 11:32 AM","63","21.15","20.45","20.80","4.50","27.03%","69","85","209.77%"
"PLTR250314C00064000","3/12/2025 2:02 PM","64","20.05","19.50","19.90","4.60","29.77%","27","87","167.19%"
"PLTR250314C00065000","3/12/2025 10:30 AM","65","19.35","18.50","18.90","5.65","41.24%","38","240","159.38%"
"PLTR250314C00066000","3/12/2025 11:00 AM","66","16.85","17.50","17.95","3.60","27.17%","15","62","160.16%"
"PLTR250314C00067000","3/12/2025 2:47 PM","67","17.35","16.50","16.85","4.96","40.03%","76","147","129.69%"
"PLTR250314C00068000","3/12/2025 3:54 PM","68","16.50","15.50","15.85","4.60","38.66%","87","150","121.88%"
"PLTR250314C00069000","3/12/2025 11:43 AM","69","15.05","14.55","14.90","5.05","50.50%","23","129","133.98%"
"PLTR250314C00070000","3/12/2025 3:48 PM","70","14.20","13.55","14.00","5.00","54.35%","2,254","425","137.50%"
"PLTR250314C00071000","3/12/2025 12:19 PM","71","12.25","12.60","13.00","3.30","36.87%","105","148","132.81%"
"PLTR250314C00072000","3/12/2025 3:55 PM","72","12.40","10.95","11.95","5.10","69.86%","119","174","144.14%"
"PLTR250314C00073000","3/12/2025 12:41 PM","73","11.27","10.80","11.00","4.02","55.45%","24","203","128.13%"
"PLTR250314C00074000","3/12/2025 3:50 PM","74","9.98","9.75","10.05","3.53","54.73%","176","218","117.97%"
"PLTR250314C00075000","3/12/2025 3:51 PM","75","9.40","8.80","9.10","4.00","74.07%","1,152","2,718","113.09%"
"PLTR250314C00076000","3/12/2025 3:48 PM","76","8.10","7.90","8.20","3.48","75.32%","537","1,295","111.62%"
"PLTR250314C00077000","3/12/2025 3:59 PM","77","7.25","7.00","7.35","3.40","88.31%","945","1,270","109.96%"
"PLTR250314C00078000","3/12/2025 3:53 PM","78","6.35","6.20","6.55","2.96","87.32%","2,330","2,329","110.84%"
"PLTR250314C00079000","3/12/2025 3:59 PM","79","5.51","5.50","5.60","2.61","90.00%","1,457","2,159","107.81%"
"PLTR250314C00080000","3/12/2025 3:59 PM","80","4.80","4.70","4.85","2.35","95.92%","8,206","5,441","105.37%"
"PLTR250314C00081000","3/12/2025 3:59 PM","81","4.10","4.00","4.10","2.00","95.24%","5,002","2,847","103.08%"
"PLTR250314C00082000","3/12/2025 3:59 PM","82","3.40","3.35","3.50","1.69","98.83%","15,629","5,509","102.83%"
"PLTR250314C00083000","3/12/2025 3:59 PM","83","2.85","2.82","2.85","1.43","100.70%","13,965","4,218","101.47%"
"PLTR250314C00084000","3/12/2025 3:59 PM","84","2.29","2.31","2.33","1.14","99.13%","17,976","7,057","100.68%"
"PLTR250314C00085000","3/12/2025 3:59 PM","85","1.86","1.84","1.88","0.94","102.17%","25,826","10,610","99.51%"
"PLTR250314C00086000","3/12/2025 3:59 PM","86","1.50","1.49","1.50","0.75","100.00%","9,527","12,443","99.71%"
"PLTR250314C00087000","3/12/2025 3:59 PM","87","1.16","1.17","1.19","0.55","90.16%","7,349","4,973","99.51%"
"PLTR250314C00088000","3/12/2025 3:59 PM","88","0.92","0.90","0.93","0.45","95.74%","6,407","14,023","99.22%"
"PLTR250314C00089000","3/12/2025 3:59 PM","89","0.69","0.70","0.72","0.30","76.92%","5,643","4,283","99.51%"
"PLTR250314C00090000","3/12/2025 3:59 PM","90","0.52","0.53","0.54","0.22","73.33%","29,237","17,216","99.22%"
"PLTR250314C00091000","3/12/2025 3:57 PM","91","0.41","0.39","0.41","0.17","70.83%","3,960","4,700","99.22%"
"PLTR250314C00092000","3/12/2025 3:59 PM","92","0.30","0.29","0.31","0.10","50.00%","3,487","3,733","99.61%"
"PLTR250314C00093000","3/12/2025 3:59 PM","93","0.24","0.22","0.24","0.08","50.00%","3,048","2,816","100.78%"
"PLTR250314C00094000","3/12/2025 3:58 PM","94","0.17","0.16","0.18","0.04","30.77%","1,552","7,692","101.17%"
"PLTR250314C00095000","3/12/2025 3:56 PM","95","0.13","0.12","0.14","0.02","18.18%","3,725","6,625","102.34%"
"PLTR250314C00096000","3/12/2025 3:59 PM","96","0.10","0.10","0.11","0.01","11.11%","2,125","3,542","104.69%"
"PLTR250314C00097000","3/12/2025 3:54 PM","97","0.08","0.05","0.09","-0.01","-11.11%","1,063","18,782","103.52%"
"PLTR250314C00098000","3/12/2025 3:56 PM","98","0.06","0.06","0.08","-0.01","-14.29%","670","2,282","109.38%"
"PLTR250314C00099000","3/12/2025 3:59 PM","99","0.06","0.05","0.07","0.00","0.00%","557","1,711","112.50%"
"PLTR250314C00100000","3/12/2025 3:57 PM","100","0.04","0.04","0.05","-0.01","-20.00%","2,942","12,582","113.28%"
"PLTR250314C00101000","3/12/2025 3:45 PM","101","0.04","0.03","0.04","0.00","0.00%","1,604","1,793","114.06%"
"PLTR250314C00102000","3/12/2025 3:59 PM","102","0.04","0.03","0.04","0.00","0.00%","822","2,153","119.53%"
"PLTR250314C00103000","3/12/2025 1:53 PM","103","0.02","0.02","0.05","-0.02","-50.00%","206","2,432","124.22%"
"PLTR250314C00104000","3/12/2025 3:38 PM","104","0.02","0.02","0.04","0.00","0.00%","121","1,614","126.56%"
"PLTR250314C00105000","3/12/2025 3:57 PM","105","0.02","0.02","0.03","-0.01","-33.33%","1,492","4,476","128.13%"
"PLTR250314C00106000","3/12/2025 3:45 PM","106","0.02","0.01","0.03","0.01","100.00%","226","801","129.69%"
"PLTR250314C00107000","3/12/2025 3:47 PM","107","0.02","0.01","0.03","-0.01","-33.33%","91","1,017","134.38%"
"PLTR250314C00108000","3/12/2025 3:47 PM","108","0.02","0.01","0.03","0.00","0.00%","66","1,412","139.06%"
"PLTR250314C00109000","3/12/2025 2:42 PM","109","0.02","0.01","0.02","0.01","100.00%","6,104","1,001","137.50%"
"PLTR250314C00110000","3/12/2025 3:41 PM","110","0.01","0.01","0.02","-0.01","-50.00%","415","6,491","142.19%"
"PLTR250314C00111000","3/12/2025 3:29 PM","111","0.02","0.00","0.01","0.00","0.00%","103","1,422","131.25%"
"PLTR250314C00112000","3/12/2025 3:53 PM","112","0.02","0.01","0.04","0.00","0.00%","99","1,357","159.38%"
"PLTR250314C00113000","3/12/2025 2:35 PM","113","0.01","0.01","0.02","0.00","0.00%","115","5,256","154.69%"
"PLTR250314C00114000","3/12/2025 3:26 PM","114","0.01","0.00","0.03","0.00","0.00%","106","596","159.38%"
"PLTR250314C00115000","3/12/2025 3:30 PM","115","0.01","0.00","0.02","-0.01","-50.00%","269","2,090","156.25%"
"PLTR250314C00116000","3/11/2025 3:52 PM","116","0.03","0.00","0.05","0.02","200.00%","1","1,552","176.56%"
"PLTR250314C00117000","3/12/2025 12:50 PM","117","0.03","0.00","0.04","0.00","0.00%","1","393","175.00%"
"PLTR250314C00118000","3/12/2025 10:53 AM","118","0.05","0.00","0.01","0.02","66.67%","5","425","156.25%"
"PLTR250314C00119000","3/12/2025 2:00 PM","119","0.01","0.00","0.01","0.00","0.00%","5","1,473","162.50%"
"PLTR250314C00120000","3/12/2025 2:51 PM","120","0.01","0.00","0.01","0.00","0.00%","48","4,090","162.50%"
"PLTR250314C00121000","3/11/2025 2:01 PM","121","0.01","0.00","0.01","0.00","0.00%","1","581","168.75%"
"PLTR250314C00122000","3/11/2025 1:02 PM","122","0.01","0.00","0.01","0.00","0.00%","5","1,153","168.75%"
